subject,run,sfreq,n_ch,dur_s,n_T0,dur_T0,n_T1,dur_T1,n_T2,dur_T2,cohort
1,3,160.0,64,125.0,15,4.2,8,4.1,7,4.1,dev
1,7,160.0,64,125.0,15,4.2,8,4.1,7,4.1,dev
1,11,160.0,64,125.0,15,4.2,7,4.1,8,4.1,dev
1,4,160.0,64,125.0,15,4.2,8,4.1,7,4.1,dev
1,8,160.0,64,125.0,15,4.2,8,4.1,7,4.1,dev
1,12,160.0,64,125.0,15,4.2,7,4.1,8,4.1,dev
2,3,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
2,7,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
2,11,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
2,4,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
2,8,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
2,12,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
3,3,160.0,64,125.0,15,4.2,7,4.1,8,4.1,dev
3,7,160.0,64,125.0,15,4.2,8,4.1,7,4.1,dev
3,11,160.0,64,125.0,15,4.2,7,4.1,8,4.1,dev
3,4,160.0,64,125.0,15,4.2,8,4.1,7,4.1,dev
3,8,160.0,64,125.0,15,4.2,7,4.1,8,4.1,dev
3,12,160.0,64,125.0,15,4.2,8,4.1,7,4.1,dev
4,3,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
4,7,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
4,11,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
4,4,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
4,8,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
4,12,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
5,3,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
5,7,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
5,11,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
5,4,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
5,8,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
5,12,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
7,3,160.0,64,125.0,15,4.2,7,4.1,8,4.1,dev
7,7,160.0,64,125.0,15,4.2,8,4.1,7,4.1,dev
7,11,160.0,64,125.0,15,4.2,8,4.1,7,4.1,dev
7,4,160.0,64,125.0,15,4.2,8,4.1,7,4.1,dev
7,8,160.0,64,125.0,15,4.2,8,4.1,7,4.1,dev
7,12,160.0,64,125.0,15,4.2,7,4.1,8,4.1,dev
9,3,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
9,7,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
9,11,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
9,4,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
9,8,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
9,12,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
