acc,bal_acc,n,subject,rung,model,task
0.5333333333333333,0.5335968379446641,45,1,1-within-subject,laterality,imagery
0.4888888888888889,0.48814229249011853,45,2,1-within-subject,laterality,imagery
0.5111111111111111,0.5118577075098814,45,3,1-within-subject,laterality,imagery
0.6666666666666666,0.6640316205533596,45,4,1-within-subject,laterality,imagery
0.5333333333333333,0.5,45,5,1-within-subject,laterality,imagery
0.7111111111111111,0.708498023715415,45,7,1-within-subject,laterality,imagery
0.5714285714285714,0.5522727272727272,42,9,1-within-subject,laterality,imagery
0.5555555555555556,0.5238095238095238,45,10,1-within-subject,laterality,imagery
0.5333333333333333,0.5266798418972332,45,11,1-within-subject,laterality,imagery
0.6,0.5714285714285714,45,12,1-within-subject,laterality,imagery
0.5357142857142857,0.5358974358974359,28,13,1-within-subject,laterality,imagery
0.4666666666666667,0.4624505928853755,45,14,1-within-subject,laterality,imagery
0.4888888888888889,0.48320158102766797,45,15,1-within-subject,laterality,imagery
0.5555555555555556,0.5474308300395256,45,16,1-within-subject,laterality,imagery
0.4666666666666667,0.4634387351778656,45,18,1-within-subject,laterality,imagery
0.55,0.5,40,19,1-within-subject,laterality,imagery
0.4666666666666667,0.4644268774703557,45,20,1-within-subject,laterality,imagery
0.6052631578947368,0.5833333333333334,38,21,1-within-subject,laterality,imagery
0.4888888888888889,0.49011857707509876,45,23,1-within-subject,laterality,imagery
0.5263157894736842,0.5098039215686274,38,24,1-within-subject,laterality,imagery
0.4222222222222222,0.42391304347826086,45,25,1-within-subject,laterality,imagery
0.4888888888888889,0.4851778656126482,45,28,1-within-subject,laterality,imagery
0.8222222222222222,0.8231225296442688,45,29,1-within-subject,laterality,imagery
0.5777777777777777,0.5535714285714286,45,30,1-within-subject,laterality,imagery
0.6444444444444445,0.6442687747035574,45,31,1-within-subject,laterality,imagery
0.6222222222222222,0.5982142857142857,45,32,1-within-subject,laterality,imagery
0.7333333333333333,0.7322134387351779,45,33,1-within-subject,laterality,imagery
0.7674418604651163,0.7683982683982684,43,34,1-within-subject,laterality,imagery
0.4888888888888889,0.4851778656126482,45,35,1-within-subject,laterality,imagery
0.4222222222222222,0.4169960474308301,45,36,1-within-subject,laterality,imagery
0.4883720930232558,0.48484848484848486,43,37,1-within-subject,laterality,imagery
0.5853658536585366,0.5705741626794258,41,39,1-within-subject,laterality,imagery
0.5333333333333333,0.5,45,40,1-within-subject,laterality,imagery
0.5681818181818182,0.5559006211180124,44,41,1-within-subject,laterality,imagery
