acc,bal_acc,n,subject,rung
0.7333333333333333,0.7282608695652174,45,1,8-transfer-exec-to-imag
0.6444444444444445,0.6492094861660079,45,2,8-transfer-exec-to-imag
0.4888888888888889,0.4980237154150198,45,3,8-transfer-exec-to-imag
0.6666666666666666,0.6699604743083004,45,4,8-transfer-exec-to-imag
0.4666666666666667,0.4970238095238095,45,5,8-transfer-exec-to-imag
0.9333333333333333,0.9318181818181819,45,7,8-transfer-exec-to-imag
0.5,0.5045454545454545,42,9,8-transfer-exec-to-imag
0.7333333333333333,0.7202380952380952,45,10,8-transfer-exec-to-imag
0.6888888888888889,0.6907114624505929,45,11,8-transfer-exec-to-imag
0.7111111111111111,0.7202380952380952,45,12,8-transfer-exec-to-imag
0.6071428571428571,0.5871794871794872,28,13,8-transfer-exec-to-imag
0.6,0.5958498023715415,45,14,8-transfer-exec-to-imag
0.7555555555555555,0.7559288537549407,45,15,8-transfer-exec-to-imag
0.5555555555555556,0.5592885375494071,45,16,8-transfer-exec-to-imag
0.5111111111111111,0.5079051383399209,45,18,8-transfer-exec-to-imag
0.725,0.7196969696969697,40,19,8-transfer-exec-to-imag
0.6,0.6047430830039526,45,20,8-transfer-exec-to-imag
0.6842105263157895,0.6833333333333333,38,21,8-transfer-exec-to-imag
0.6666666666666666,0.6679841897233202,45,23,8-transfer-exec-to-imag
0.7631578947368421,0.7633053221288515,38,24,8-transfer-exec-to-imag
0.6666666666666666,0.6660079051383399,45,25,8-transfer-exec-to-imag
0.5555555555555556,0.558300395256917,45,28,8-transfer-exec-to-imag
0.7777777777777778,0.7826086956521738,45,29,8-transfer-exec-to-imag
0.6222222222222222,0.6130952380952381,45,30,8-transfer-exec-to-imag
0.8,0.7994071146245059,45,31,8-transfer-exec-to-imag
0.5777777777777777,0.5684523809523809,45,32,8-transfer-exec-to-imag
0.6444444444444445,0.650197628458498,45,33,8-transfer-exec-to-imag
0.6976744186046512,0.698051948051948,43,34,8-transfer-exec-to-imag
0.8444444444444444,0.841897233201581,45,35,8-transfer-exec-to-imag
0.5777777777777777,0.5780632411067194,45,36,8-transfer-exec-to-imag
0.5116279069767442,0.5021645021645021,43,37,8-transfer-exec-to-imag
0.6585365853658537,0.645933014354067,41,39,8-transfer-exec-to-imag
0.6222222222222222,0.6279761904761905,45,40,8-transfer-exec-to-imag
